GLN,Namn,Avdelning,Gatuadress,Postbox,Postnummer och ort,Sökattribut,Id,Leveransplats,string_address,coordinates,latitude,longitude
7381020442586,Bokens förskola,Förskola,,Södergatan 22,311 73 Falkenberg,,7381020442586,,"Bokens förskola, Södergatan 22, 311 73 Falkenberg","(56.8982436, 12.486566)",56.8982436,12.486566
7381020440582,Bokens äldreboende Läger,Köket,,Södergatan 20 B,311 32 Falkenberg,,7381020440582,,"Bokens äldreboende Läger, Södergatan 20 B, 311 32 Falkenberg","(56.8982878, 12.4875741)",56.8982878,12.4875741
7381020442142,Ciceronen,Stöd- och beroendeenheten,,Heberg 302,311 96 Heberg,,7381020442142,,"Ciceronen, Heberg 302, 311 96 Heberg","(56.8884476, 12.6293776)",56.8884476,12.6293776
7381020441374,Dagverksamhet Trädgården Flora/Trädlyck,,,Rörbecksgatan 24 B,311 34 Falkenberg,,7381020441374,,"Dagverksamhet Trädgården Flora/Trädlyck, Rörbecksgatan 24 B, 311 34 Falkenberg","(56.9051951, 12.4842995)",56.9051951,12.4842995
7381020441398,Dagverksamhet Älvan,,,Vinbyvägen 2,311 99 Vinberg,,7381020441398,,"Dagverksamhet Älvan, Vinbyvägen 2, 311 99 Vinberg","(56.9475652, 12.5412683)",56.9475652,12.5412683
7381020441299,Dals ängar förskola,Köket,,Skärslidarna 100,311 80 Falkenberg,,7381020441299,,"Dals ängar förskola, Skärslidarna 100, 311 80 Falkenberg","(56.9230493, 12.5174128)",56.9230493,12.5174128
7381020442555,Dals Ängars förskola,Förskola,,Skräslidarna 100,311 76 Falkenberg,,7381020442555,,"Dals Ängars förskola, Skräslidarna 100, 311 76 Falkenberg","(56.9230041, 12.5173341)",56.9230041,12.5173341
7381020442531,Eldstadens förskola,Förskola,,Skogsvägen 5,311 46 Falkenberg,,7381020442531,,"Eldstadens förskola, Skogsvägen 5, 311 46 Falkenberg","(56.894079, 12.514656)",56.894079,12.514656
7381020441367,Eldstadens förskola,Köket,,Skogsvägen 5,311 46 Falkenberg,,7381020441367,,"Eldstadens förskola, Skogsvägen 5, 311 46 Falkenberg","(56.894079, 12.514656)",56.894079,12.514656
7381020441350,Eldstadens förskola Paviljong,Köket,,Skogsvägen 5,311 46 Falkenberg,,7381020441350,,"Eldstadens förskola Paviljong, Skogsvägen 5, 311 46 Falkenberg","(56.894079, 12.514656)",56.894079,12.514656
